Time,Wrist_PosX,Wrist_PosY,Wrist_PosZ,Wrist_RotX,Wrist_RotY,Wrist_RotZ,Wrist_RotW,Wrist_PosX.1,Wrist_PosY.1,Wrist_PosZ.1,Wrist_RotX.1,Wrist_RotY.1,Wrist_RotZ.1,Wrist_RotW.1,ThumbDistal_PosX,ThumbDistal_PosY,ThumbDistal_PosZ,ThumbDistal_RotX,ThumbDistal_RotY,ThumbDistal_RotZ,ThumbDistal_RotW,ThumbTip_PosX,ThumbTip_PosY,ThumbTip_PosZ,ThumbTip_RotX,ThumbTip_RotY,ThumbTip_RotZ,ThumbTip_RotW,IndexDistal_PosX,IndexDistal_PosY,IndexDistal_PosZ,IndexDistal_RotX,IndexDistal_RotY,IndexDistal_RotZ,IndexDistal_RotW,IndexTip_PosX,IndexTip_PosY,IndexTip_PosZ,IndexTip_RotX,IndexTip_RotY,IndexTip_RotZ,IndexTip_RotW,MiddleDistal_PosX,MiddleDistal_PosY,MiddleDistal_PosZ,MiddleDistal_RotX,MiddleDistal_RotY,MiddleDistal_RotZ,MiddleDistal_RotW,MiddleTip_PosX,MiddleTip_PosY,MiddleTip_PosZ,MiddleTip_RotX,MiddleTip_RotY,MiddleTip_RotZ,MiddleTip_RotW,RingDistal_PosX,RingDistal_PosY,RingDistal_PosZ,RingDistal_RotX,RingDistal_RotY,RingDistal_RotZ,RingDistal_RotW,RingTip_PosX,RingTip_PosY,RingTip_PosZ,RingTip_RotX,RingTip_RotY,RingTip_RotZ,RingTip_RotW,LittleDistal_PosX,LittleDistal_PosY,LittleDistal_PosZ,LittleDistal_RotX,LittleDistal_RotY,LittleDistal_RotZ,LittleDistal_RotW,LittleTip_PosX,LittleTip_PosY,LittleTip_PosZ,LittleTip_RotX,LittleTip_RotY,LittleTip_RotZ,LittleTip_RotW,state
0,0.1192,0.9349,0.1856,0.6415,0.1523,-0.0498,-0.7502,0.1192,0.9349,0.1856,0.6415,0.1523,-0.0498,-0.7502,0.024,0.9866,0.1991,0.7078,0.1046,-0.6097,-0.3411,0.0016,0.9946,0.1975,0.7078,0.1046,-0.6097,-0.3411,0.0695,1.0753,0.206,0.7039,0.0219,0.0721,-0.7062,0.0714,1.0969,0.2052,0.7039,0.0219,0.0721,-0.7062,0.0851,1.089,0.2083,0.721,0.093,0.0709,-0.683,0.0851,1.113,0.2059,0.721,0.093,0.0709,-0.683,0.1023,1.0823,0.2117,0.675,0.1608,0.0598,-0.7176,0.0995,1.1056,0.2112,0.675,0.1608,0.0598,-0.7176,0.1189,1.0614,0.2142,0.655,0.2479,0.0871,-0.7085,0.1142,1.0821,0.2135,0.655,0.2479,0.0871,-0.7085,4
0,0.1192,0.9349,0.1856,0.6415,0.1524,-0.0498,-0.7502,0.1192,0.9349,0.1856,0.6415,0.1524,-0.0498,-0.7502,0.0239,0.9866,0.1991,0.7078,0.1046,-0.6097,-0.3411,0.0016,0.9946,0.1974,0.7078,0.1046,-0.6097,-0.3411,0.0695,1.0753,0.206,0.7039,0.022,0.0721,-0.7062,0.0714,1.0969,0.2052,0.7039,0.022,0.0721,-0.7062,0.0851,1.089,0.2083,0.721,0.093,0.071,-0.683,0.0851,1.113,0.2059,0.721,0.093,0.071,-0.683,0.1023,1.0823,0.2117,0.675,0.1608,0.0598,-0.7176,0.0995,1.1056,0.2112,0.675,0.1608,0.0598,-0.7176,0.1189,1.0614,0.2142,0.655,0.2479,0.0871,-0.7085,0.1142,1.0821,0.2135,0.655,0.2479,0.0871,-0.7085,4
13,0.119,0.9351,0.1853,0.6421,0.1537,-0.0473,-0.7496,0.119,0.9351,0.1853,0.6421,0.1537,-0.0473,-0.7496,0.0239,0.987,0.1981,0.7102,0.1042,-0.6067,-0.3416,0.0016,0.9952,0.1963,0.7102,0.1042,-0.6067,-0.3416,0.0695,1.0757,0.2055,0.703,0.0232,0.0747,-0.7069,0.0715,1.0972,0.2048,0.703,0.0232,0.0747,-0.7069,0.0851,1.0893,0.2077,0.7211,0.0944,0.0735,-0.6824,0.0851,1.1133,0.2053,0.7211,0.0944,0.0735,-0.6824,0.1023,1.0825,0.2112,0.6753,0.1625,0.0621,-0.7168,0.0995,1.1059,0.2106,0.6753,0.1625,0.0621,-0.7168,0.1188,1.0617,0.2138,0.6543,0.2501,0.0888,-0.7081,0.1141,1.0823,0.2131,0.6543,0.2501,0.0888,-0.7081,4
28,0.1189,0.9353,0.185,0.6424,0.1546,-0.0452,-0.7493,0.1189,0.9353,0.185,0.6424,0.1546,-0.0452,-0.7493,0.0238,0.9875,0.1972,0.7125,0.1039,-0.6039,-0.342,0.0015,0.9957,0.1952,0.7125,0.1039,-0.6039,-0.342,0.0695,1.076,0.2051,0.7017,0.0241,0.0766,-0.7079,0.0715,1.0975,0.2045,0.7017,0.0241,0.0766,-0.7079,0.0851,1.0895,0.2072,0.7211,0.0955,0.0754,-0.6821,0.0852,1.1136,0.2048,0.7211,0.0955,0.0754,-0.6821,0.1023,1.0828,0.2107,0.6754,0.1638,0.0638,-0.7162,0.0995,1.1062,0.2102,0.6754,0.1638,0.0638,-0.7162,0.1186,1.0618,0.2135,0.6533,0.2521,0.09,-0.7082,0.1139,1.0825,0.2128,0.6533,0.2521,0.09,-0.7082,4
42,0.1186,0.936,0.184,0.6389,0.1541,-0.0453,-0.7524,0.1186,0.936,0.184,0.6389,0.1541,-0.0453,-0.7524,0.0236,0.9881,0.1969,0.7101,0.1054,-0.6038,-0.3465,0.0013,0.9964,0.195,0.7101,0.1054,-0.6038,-0.3465,0.0691,1.0764,0.2058,0.6973,0.0237,0.0753,-0.7124,0.0711,1.0979,0.2054,0.6973,0.0237,0.0753,-0.7124,0.0847,1.09,0.2079,0.7173,0.0951,0.0745,-0.6862,0.0847,1.114,0.2057,0.7173,0.0951,0.0745,-0.6862,0.1019,1.0832,0.2112,0.6715,0.1634,0.0633,-0.72,0.0991,1.1066,0.2109,0.6715,0.1634,0.0633,-0.72,0.1183,1.0622,0.2138,0.6488,0.2513,0.0902,-0.7126,0.1135,1.0829,0.2133,0.6488,0.2513,0.0902,-0.7126,4
55,0.1184,0.9368,0.1835,0.6366,0.1508,-0.0485,-0.7547,0.1184,0.9368,0.1835,0.6366,0.1508,-0.0485,-0.7547,0.0236,0.9888,0.1974,0.7074,0.1051,-0.6059,-0.3484,0.0014,0.9972,0.1957,0.7074,0.1051,-0.6059,-0.3484,0.0689,1.077,0.2066,0.6948,0.0211,0.0709,-0.7154,0.0708,1.0985,0.2064,0.6948,0.0211,0.0709,-0.7154,0.0845,1.0905,0.2086,0.715,0.0925,0.0703,-0.6894,0.0844,1.1146,0.2067,0.715,0.0925,0.0703,-0.6894,0.1017,1.0838,0.2117,0.6691,0.1607,0.0595,-0.7231,0.0989,1.1071,0.2115,0.6691,0.1607,0.0595,-0.7231,0.1183,1.0628,0.2141,0.6457,0.2483,0.0867,-0.7169,0.1134,1.0835,0.2138,0.6457,0.2483,0.0867,-0.7169,4
69,0.1184,0.937,0.1836,0.6365,0.1498,-0.0494,-0.7549,0.1184,0.937,0.1836,0.6365,0.1498,-0.0494,-0.7549,0.0236,0.9891,0.1979,0.7062,0.1042,-0.6071,-0.3492,0.0013,0.9975,0.1963,0.7062,0.1042,-0.6071,-0.3492,0.0687,1.0772,0.2071,0.6934,0.0212,0.0692,-0.7169,0.0706,1.0988,0.207,0.6934,0.0212,0.0692,-0.7169,0.0844,1.0907,0.2092,0.713,0.0921,0.0689,-0.6916,0.0842,1.1148,0.2074,0.713,0.0921,0.0689,-0.6916,0.1016,1.084,0.2122,0.6673,0.1601,0.0582,-0.7251,0.0987,1.1074,0.2121,0.6673,0.1601,0.0582,-0.7251,0.1182,1.0631,0.2144,0.6434,0.2477,0.0854,-0.7193,0.1132,1.0837,0.2143,0.6434,0.2477,0.0854,-0.7193,4
83,0.1185,0.9372,0.184,0.6363,0.1496,-0.0508,-0.7551,0.1185,0.9372,0.184,0.6363,0.1496,-0.0508,-0.7551,0.0237,0.9892,0.1984,0.7051,0.1041,-0.6083,-0.3492,0.0014,0.9975,0.1969,0.7051,0.1041,-0.6083,-0.3492,0.0686,1.0773,0.2077,0.693,0.0217,0.0672,-0.7175,0.0703,1.0989,0.2075,0.693,0.0217,0.0672,-0.7175,0.0842,1.0908,0.2098,0.712,0.0922,0.0672,-0.6929,0.084,1.1149,0.2081,0.712,0.0922,0.0672,-0.6929,0.1015,1.0841,0.2127,0.6661,0.16,0.0566,-0.7263,0.0985,1.1075,0.2127,0.6661,0.16,0.0566,-0.7263,0.1181,1.0632,0.2149,0.642,0.2474,0.0839,-0.7208,0.1131,1.0839,0.2149,0.642,0.2474,0.0839,-0.7208,4
97,0.1186,0.9372,0.1842,0.6356,0.1473,-0.0541,-0.7559,0.1186,0.9372,0.1842,0.6356,0.1473,-0.0541,-0.7559,0.0238,0.989,0.1995,0.7021,0.1034,-0.6115,-0.3498,0.0016,0.9973,0.1982,0.7021,0.1034,-0.6115,-0.3498,0.0685,1.0771,0.2085,0.6924,0.0202,0.0632,-0.7184,0.0702,1.0987,0.2084,0.6924,0.0202,0.0632,-0.7184,0.0842,1.0907,0.2106,0.7113,0.0904,0.0635,-0.6941,0.0839,1.1147,0.2089,0.7113,0.0904,0.0635,-0.6941,0.1016,1.084,0.2133,0.6654,0.1576,0.0534,-0.7277,0.0985,1.1073,0.2134,0.6654,0.1576,0.0534,-0.7277,0.1182,1.0631,0.2154,0.6409,0.2449,0.0808,-0.723,0.1132,1.0838,0.2155,0.6409,0.2449,0.0808,-0.723,4
111,0.1188,0.9371,0.1844,0.6348,0.1454,-0.0565,-0.7568,0.1188,0.9371,0.1844,0.6348,0.1454,-0.0565,-0.7568,0.024,0.9888,0.2004,0.6996,0.1029,-0.614,-0.3506,0.0017,0.9971,0.1992,0.6996,0.1029,-0.614,-0.3506,0.0685,1.0769,0.2092,0.6918,0.019,0.0601,-0.7193,0.0701,1.0985,0.2092,0.6918,0.019,0.0601,-0.7193,0.0843,1.0905,0.2112,0.7108,0.0888,0.0608,-0.6951,0.0839,1.1146,0.2096,0.7108,0.0888,0.0608,-0.6951,0.1017,1.0839,0.2138,0.6647,0.1555,0.051,-0.7289,0.0986,1.1072,0.214,0.6647,0.1555,0.051,-0.7289,0.1184,1.0631,0.2158,0.64,0.2426,0.0786,-0.7248,0.1133,1.0837,0.216,0.64,0.2426,0.0786,-0.7248,4
