Time,Wrist_PosX,Wrist_PosY,Wrist_PosZ,Wrist_RotX,Wrist_RotY,Wrist_RotZ,Wrist_RotW,Wrist_PosX.1,Wrist_PosY.1,Wrist_PosZ.1,Wrist_RotX.1,Wrist_RotY.1,Wrist_RotZ.1,Wrist_RotW.1,ThumbDistal_PosX,ThumbDistal_PosY,ThumbDistal_PosZ,ThumbDistal_RotX,ThumbDistal_RotY,ThumbDistal_RotZ,ThumbDistal_RotW,ThumbTip_PosX,ThumbTip_PosY,ThumbTip_PosZ,ThumbTip_RotX,ThumbTip_RotY,ThumbTip_RotZ,ThumbTip_RotW,IndexDistal_PosX,IndexDistal_PosY,IndexDistal_PosZ,IndexDistal_RotX,IndexDistal_RotY,IndexDistal_RotZ,IndexDistal_RotW,IndexTip_PosX,IndexTip_PosY,IndexTip_PosZ,IndexTip_RotX,IndexTip_RotY,IndexTip_RotZ,IndexTip_RotW,MiddleDistal_PosX,MiddleDistal_PosY,MiddleDistal_PosZ,MiddleDistal_RotX,MiddleDistal_RotY,MiddleDistal_RotZ,MiddleDistal_RotW,MiddleTip_PosX,MiddleTip_PosY,MiddleTip_PosZ,MiddleTip_RotX,MiddleTip_RotY,MiddleTip_RotZ,MiddleTip_RotW,RingDistal_PosX,RingDistal_PosY,RingDistal_PosZ,RingDistal_RotX,RingDistal_RotY,RingDistal_RotZ,RingDistal_RotW,RingTip_PosX,RingTip_PosY,RingTip_PosZ,RingTip_RotX,RingTip_RotY,RingTip_RotZ,RingTip_RotW,LittleDistal_PosX,LittleDistal_PosY,LittleDistal_PosZ,LittleDistal_RotX,LittleDistal_RotY,LittleDistal_RotZ,LittleDistal_RotW,LittleTip_PosX,LittleTip_PosY,LittleTip_PosZ,LittleTip_RotX,LittleTip_RotY,LittleTip_RotZ,LittleTip_RotW,state
0,0.2705,0.7971,-0.0614,-0.1865,0.0835,-0.8172,0.539,0.2705,0.7971,-0.0614,-0.1865,0.0835,-0.8172,0.539,0.303,0.8686,0.0107,-0.3325,0.0682,-0.2455,0.908,0.3106,0.882,0.0277,-0.3325,0.0682,-0.2455,0.908,0.3181,0.831,0.0728,0.1136,-0.2524,-0.7921,0.5441,0.3093,0.8363,0.091,0.1136,-0.2524,-0.7921,0.5441,0.2936,0.8134,0.082,0.2213,-0.3645,-0.7936,0.434,0.2784,0.8218,0.0976,0.2213,-0.3645,-0.7936,0.434,0.2737,0.7989,0.0747,0.2435,-0.4583,-0.7817,0.3459,0.2582,0.8106,0.0864,0.2435,-0.4583,-0.7817,0.3459,0.2613,0.7839,0.0581,0.2229,-0.42,-0.8426,0.2527,0.2498,0.7957,0.0703,0.2229,-0.42,-0.8426,0.2527,4
0,0.2705,0.7971,-0.0614,-0.1865,0.0835,-0.8172,0.539,0.2705,0.7971,-0.0614,-0.1865,0.0835,-0.8172,0.539,0.303,0.8686,0.0107,-0.3325,0.0682,-0.2455,0.908,0.3106,0.882,0.0277,-0.3325,0.0682,-0.2455,0.908,0.3181,0.831,0.0728,0.1136,-0.2524,-0.7921,0.5441,0.3093,0.8363,0.091,0.1136,-0.2524,-0.7921,0.5441,0.2936,0.8134,0.082,0.2213,-0.3644,-0.7936,0.4341,0.2784,0.8218,0.0976,0.2213,-0.3644,-0.7936,0.4341,0.2737,0.7989,0.0747,0.2434,-0.4583,-0.7817,0.3459,0.2582,0.8106,0.0864,0.2434,-0.4583,-0.7817,0.3459,0.2613,0.7839,0.0581,0.2229,-0.42,-0.8426,0.2527,0.2498,0.7957,0.0703,0.2229,-0.42,-0.8426,0.2527,4
14,0.2702,0.7977,-0.0623,-0.185,0.0797,-0.8193,0.5368,0.2702,0.7977,-0.0623,-0.185,0.0797,-0.8193,0.5368,0.3026,0.8696,0.0094,-0.3379,0.0659,-0.2493,0.9052,0.3102,0.8832,0.0263,-0.3379,0.0659,-0.2493,0.9052,0.3179,0.8318,0.072,0.1032,-0.2422,-0.7974,0.543,0.3097,0.837,0.0905,0.1032,-0.2422,-0.7974,0.543,0.2929,0.8143,0.0816,0.2085,-0.3477,-0.8025,0.4378,0.2785,0.8224,0.098,0.2085,-0.3477,-0.8025,0.4378,0.2728,0.7999,0.0742,0.2359,-0.4461,-0.7894,0.3496,0.2576,0.8114,0.0866,0.2359,-0.4461,-0.7894,0.3496,0.2604,0.7851,0.0576,0.2178,-0.4129,-0.8463,0.2565,0.249,0.7966,0.0701,0.2178,-0.4129,-0.8463,0.2565,4
27,0.2697,0.7986,-0.0639,-0.1882,0.0721,-0.8233,0.5306,0.2697,0.7986,-0.0639,-0.1882,0.0721,-0.8233,0.5306,0.3025,0.8716,0.0066,-0.3487,0.0636,-0.2534,0.9001,0.3101,0.8855,0.0232,-0.3487,0.0636,-0.2534,0.9001,0.3168,0.835,0.0699,0.1042,-0.2595,-0.7948,0.5386,0.3081,0.8407,0.088,0.1042,-0.2595,-0.7948,0.5386,0.2913,0.8181,0.0793,0.2145,-0.373,-0.7936,0.4301,0.2763,0.827,0.0948,0.2145,-0.373,-0.7936,0.4301,0.271,0.804,0.0718,0.241,-0.4737,-0.776,0.3396,0.2555,0.8163,0.083,0.241,-0.4737,-0.776,0.3396,0.2592,0.789,0.0557,0.2184,-0.4384,-0.8355,0.2491,0.2477,0.8014,0.0674,0.2184,-0.4384,-0.8355,0.2491,4
41,0.2701,0.8007,-0.0656,-0.1932,0.063,-0.8266,0.5248,0.2701,0.8007,-0.0656,-0.1932,0.063,-0.8266,0.5248,0.3032,0.875,0.0033,-0.3583,0.0607,-0.2573,0.8954,0.3109,0.8893,0.0196,-0.3583,0.0607,-0.2573,0.8954,0.317,0.8399,0.0674,0.1,-0.2734,-0.7925,0.5359,0.3082,0.8462,0.0853,0.1,-0.2734,-0.7925,0.5359,0.2913,0.8235,0.077,0.2122,-0.3891,-0.788,0.4273,0.2762,0.833,0.092,0.2122,-0.3891,-0.788,0.4273,0.271,0.8095,0.0698,0.2379,-0.4886,-0.7688,0.337,0.2555,0.8222,0.0804,0.2379,-0.4886,-0.7688,0.337,0.2591,0.7943,0.054,0.2156,-0.4548,-0.8282,0.2465,0.2477,0.8072,0.0651,0.2156,-0.4548,-0.8282,0.2465,4
55,0.27,0.8019,-0.067,-0.202,0.0589,-0.8299,0.5166,0.27,0.8019,-0.067,-0.202,0.0589,-0.8299,0.5166,0.3046,0.8773,0.0002,-0.3673,0.0626,-0.2609,0.8906,0.3125,0.8918,0.0162,-0.3673,0.0626,-0.2609,0.8906,0.3181,0.8434,0.0646,0.0979,-0.293,-0.7884,0.5319,0.309,0.8503,0.0821,0.0979,-0.293,-0.7884,0.5319,0.2915,0.828,0.0741,0.2191,-0.423,-0.7731,0.4187,0.2757,0.8384,0.0877,0.2191,-0.423,-0.7731,0.4187,0.271,0.8144,0.067,0.2399,-0.5204,-0.7514,0.3272,0.2553,0.828,0.0762,0.2399,-0.5204,-0.7514,0.3272,0.2591,0.7991,0.052,0.2149,-0.484,-0.8146,0.2367,0.2477,0.8128,0.062,0.2149,-0.484,-0.8146,0.2367,4
69,0.2694,0.8029,-0.0679,-0.2146,0.0487,-0.827,0.5173,0.2694,0.8029,-0.0679,-0.2146,0.0487,-0.827,0.5173,0.3035,0.8808,-0.0034,-0.3821,0.0582,-0.2527,0.887,0.3112,0.8959,0.0121,-0.3821,0.0582,-0.2527,0.887,0.318,0.8489,0.0617,0.0942,-0.3118,-0.7772,0.5384,0.3086,0.8564,0.0788,0.0942,-0.3118,-0.7772,0.5384,0.2907,0.834,0.0709,0.2328,-0.4632,-0.7457,0.4186,0.2738,0.8451,0.0827,0.2328,-0.4632,-0.7457,0.4186,0.2701,0.8206,0.0639,0.2531,-0.565,-0.716,0.3225,0.2537,0.8348,0.0706,0.2531,-0.565,-0.716,0.3225,0.2589,0.8046,0.0501,0.2207,-0.52,-0.7907,0.2359,0.2471,0.8191,0.0586,0.2207,-0.52,-0.7907,0.2359,4
83,0.269,0.8034,-0.0684,-0.2227,0.0417,-0.8253,0.5173,0.269,0.8034,-0.0684,-0.2227,0.0417,-0.8253,0.5173,0.3025,0.8831,-0.0057,-0.3923,0.0537,-0.2464,0.8846,0.3101,0.8987,0.0094,-0.3923,0.0537,-0.2464,0.8846,0.3178,0.8525,0.0598,0.0934,-0.3272,-0.7682,0.5423,0.3081,0.8604,0.0765,0.0934,-0.3272,-0.7682,0.5423,0.2897,0.8381,0.0686,0.2476,-0.4973,-0.7203,0.4154,0.272,0.8496,0.0785,0.2476,-0.4973,-0.7203,0.4154,0.269,0.8248,0.0612,0.2679,-0.6042,-0.6815,0.3143,0.2521,0.8394,0.0656,0.2679,-0.6042,-0.6815,0.3143,0.2584,0.8085,0.0485,0.2282,-0.5521,-0.7678,0.2313,0.2463,0.8235,0.0554,0.2282,-0.5521,-0.7678,0.2313,4
97,0.2687,0.8038,-0.0688,-0.2277,0.0373,-0.8242,0.5171,0.2687,0.8038,-0.0688,-0.2277,0.0373,-0.8242,0.5171,0.3018,0.8846,-0.0072,-0.3983,0.0494,-0.2418,0.8834,0.3091,0.9005,0.0077,-0.3983,0.0494,-0.2418,0.8834,0.3176,0.8548,0.0585,0.0941,-0.3389,-0.7614,0.5446,0.3075,0.863,0.0749,0.0941,-0.3389,-0.7614,0.5446,0.2888,0.8408,0.0669,0.2597,-0.5224,-0.7001,0.4117,0.2705,0.8525,0.0753,0.2597,-0.5224,-0.7001,0.4117,0.2681,0.8276,0.0592,0.28,-0.633,-0.6535,0.3064,0.2509,0.8423,0.0617,0.28,-0.633,-0.6535,0.3064,0.2579,0.811,0.0472,0.2352,-0.5768,-0.7489,0.2261,0.2456,0.8264,0.0529,0.2352,-0.5768,-0.7489,0.2261,4
111,0.2689,0.8043,-0.0694,-0.2356,0.0416,-0.816,0.5263,0.2689,0.8043,-0.0694,-0.2356,0.0416,-0.816,0.5263,0.3015,0.8856,-0.0083,-0.397,0.0542,-0.2287,0.8872,0.3087,0.9015,0.0067,-0.397,0.0542,-0.2287,0.8872,0.3193,0.856,0.057,0.093,-0.3345,-0.7549,0.5563,0.3092,0.864,0.0735,0.093,-0.3345,-0.7549,0.5563,0.2913,0.8412,0.066,0.2612,-0.5185,-0.6958,0.4228,0.2728,0.8525,0.0746,0.2612,-0.5185,-0.6958,0.4228,0.2704,0.8277,0.0584,0.2866,-0.6365,-0.6433,0.3145,0.2528,0.8421,0.0605,0.2866,-0.6365,-0.6433,0.3145,0.2598,0.8113,0.0463,0.2407,-0.5839,-0.7393,0.2335,0.2472,0.8265,0.0515,0.2407,-0.5839,-0.7393,0.2335,4
